iter	Passed	Remaining
0	139	139797
1	142	71142
2	149	49599
3	152	38022
4	156	31145
5	159	26385
6	162	23004
7	166	20649
8	168	18546
9	169	16801
10	171	15405
11	172	14164
12	173	13172
13	174	12309
14	175	11547
15	177	10910
16	179	10351
17	179	9795
18	180	9327
19	181	8882
20	182	8503
21	183	8151
22	184	7817
23	185	7523
24	186	7254
25	186	6993
26	187	6757
27	188	6536
28	189	6331
29	189	6132
30	190	5951
31	191	5783
32	192	5627
33	192	5477
34	193	5330
35	193	5192
36	194	5064
37	195	4942
38	195	4825
39	196	4713
40	196	4607
41	197	4504
42	197	4406
43	198	4312
44	198	4223
45	199	4136
46	199	4054
47	200	3972
48	200	3896
49	201	3822
50	201	3751
51	202	3684
52	202	3619
53	203	3556
54	203	3496
55	203	3437
56	204	3380
57	204	3325
58	205	3273
59	205	3224
60	206	3176
61	206	3129
62	207	3084
63	207	3040
64	208	2996
65	208	2957
66	209	2918
67	210	2879
68	210	2837
69	210	2799
70	211	2760
71	211	2725
72	211	2691
73	212	2657
74	212	2625
75	213	2593
76	213	2562
77	214	2532
78	214	2502
79	215	2473
80	215	2445
81	216	2418
82	216	2392
83	216	2365
84	217	2340
85	217	2316
86	218	2292
87	218	2268
88	219	2245
89	219	2222
90	220	2202
91	221	2183
92	221	2162
93	222	2142
94	222	2121
95	222	2099
96	223	2079
97	223	2060
98	224	2041
99	224	2023
100	225	2005
101	225	1987
102	226	1969
103	226	1952
104	227	1936
105	227	1919
106	228	1903
107	228	1887
108	228	1871
109	229	1856
110	229	1841
111	230	1826
112	230	1809
113	231	1795
114	231	1781
115	231	1767
116	232	1753
117	232	1739
118	233	1726
119	233	1714
120	234	1701
121	234	1688
122	235	1676
123	235	1664
124	236	1652
125	236	1640
126	236	1628
127	237	1617
128	237	1605
129	238	1594
130	238	1583
131	239	1573
132	239	1562
133	240	1551
134	240	1541
135	241	1531
136	241	1521
137	241	1511
138	242	1501
139	243	1492
140	246	1499
141	246	1490
142	247	1481
143	247	1472
144	248	1464
145	248	1456
146	249	1448
147	250	1439
148	250	1431
149	251	1422
150	251	1413
151	251	1405
152	252	1397
153	252	1389
154	253	1381
155	254	1374
156	254	1366
157	255	1358
158	255	1351
159	255	1343
160	256	1336
161	256	1328
162	257	1321
163	257	1314
164	258	1307
165	258	1300
166	259	1293
167	259	1286
168	260	1279
169	260	1272
170	260	1264
171	261	1258
172	261	1251
173	262	1245
174	262	1238
175	263	1232
176	263	1226
177	264	1220
178	264	1214
179	265	1208
180	265	1202
181	266	1196
182	266	1190
183	267	1184
184	267	1178
185	267	1172
186	268	1166
187	268	1161
188	269	1156
189	270	1151
190	270	1146
191	271	1141
192	271	1135
193	272	1130
194	272	1125
195	273	1120
196	273	1114
197	273	1109
198	274	1104
199	274	1099
200	275	1094
201	275	1089
202	276	1084
203	276	1079
204	277	1075
205	277	1070
206	278	1065
207	278	1060
208	279	1056
209	279	1051
210	279	1046
211	280	1042
212	280	1037
213	281	1033
214	281	1029
215	282	1024
216	282	1020
217	283	1016
218	283	1011
219	284	1007
220	284	1003
221	285	999
222	285	995
223	286	991
224	286	987
225	287	983
226	287	979
227	287	975
228	288	971
229	288	967
230	289	963
231	289	959
232	290	956
233	290	952
234	291	948
235	291	944
236	292	941
237	292	937
